GridID,Category,SubstGroup,Substance,Type,Tissue,Unit,BASIS,Threshold,Value,CR
100kmE41N35,Water,PAHs,ANT,,,µg/l,,0.1,9.18E-06,9.18E-05
100kmE41N35,Water,PAHs,BAP,,,µg/l,,0.00017,5.83E-05,0.342942594
100kmE41N35,Water,PCBs,CB138,,,µg/l,,2.00E-05,2.18E-06,0.10922561
100kmE41N35,Water,PCBs,CB153,,,µg/l,,0.001,2.84E-06,0.002835301
100kmE41N35,Water,Metals,CU,,,µg/l,,0.02,0.429070132,21.45350662
100kmE41N35,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,6.54E-07,6.54E-05
100kmE41N35,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,5.11E-06,0.000204451
100kmE41N35,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,1.61E-05,0.00321853
100kmE41N35,Water,PAHs,FLU,,,µg/l,,0.0063,0.000311814,0.049494244
100kmE41N35,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,0.000190964,0.095482048
100kmE41N35,Water,PAHs,NAP,,,µg/l,,2,0.000929194,0.000464597
100kmE41N35,Water,Metals,NI,,,µg/l,,8.6,0.447204451,0.052000518
100kmE41N35,Water,PAHs,PA,,,µg/l,,1.3,0.000335242,0.000257878
100kmE41N35,Water,Metals,PB,,,µg/l,,1.3,0.075829393,0.058330303
100kmE41N35,Water,PAHs,PYR,,,µg/l,,0.023,0.000143489,0.006238649
100kmE41N35,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,1.33E-06,0.001904647
100kmE41N35,Water,Organochlorines,TRF,,,µg/l,,0.03,3.51E-06,0.000117131
100kmE41N36,Water,Metals,CU,,,µg/l,,0.02,0.4163,20.815
100kmE41N36,Water,Metals,NI,,,µg/l,,8.6,0.4019,0.046732558
100kmE41N36,Water,Metals,PB,,,µg/l,,1.3,0.02425,0.018653846
100kmE41N37,Water,PAHs,ANT,,,µg/l,,0.1,2.25E-06,2.25E-05
100kmE41N37,Water,PAHs,BAP,,,µg/l,,0.00017,1.05E-05,0.061764706
100kmE41N37,Water,PCBs,CB138,,,µg/l,,2.00E-05,4.40E-07,0.022
100kmE41N37,Water,PCBs,CB153,,,µg/l,,0.001,1.20E-06,0.0012
100kmE41N37,Water,Metals,CU,,,µg/l,,0.02,0.271133333,13.55666667
100kmE41N37,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,1.80E-07,1.80E-05
100kmE41N37,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,1.37E-06,5.49E-05
100kmE41N37,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,1.54E-05,0.0030855
100kmE41N37,Water,PAHs,FLU,,,µg/l,,0.0063,8.44E-05,0.013396032
100kmE41N37,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,0.00012901,0.064505
100kmE41N37,Water,PAHs,NAP,,,µg/l,,2,0.00073475,0.000367375
100kmE41N37,Water,Metals,NI,,,µg/l,,8.6,0.3219,0.037430233
100kmE41N37,Water,PAHs,PA,,,µg/l,,1.3,9.62E-05,7.40E-05
100kmE41N37,Water,Metals,PB,,,µg/l,,1.3,0.03607,0.027746154
100kmE41N37,Water,PAHs,PYR,,,µg/l,,0.023,6.13E-05,0.002663043
100kmE41N37,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,7.40E-07,0.001057143
100kmE41N37,Water,Organochlorines,TRF,,,µg/l,,0.03,5.08E-07,1.69E-05
100kmE42N38,Water,PAHs,ANT,,,µg/l,,0.1,2.25E-06,2.25E-05
100kmE42N38,Water,PAHs,BAP,,,µg/l,,0.00017,3.00E-06,0.017647059
100kmE42N38,Water,PCBs,CB138,,,µg/l,,2.00E-05,7.40E-07,0.037
100kmE42N38,Water,PCBs,CB153,,,µg/l,,0.001,1.20E-06,0.0012
100kmE42N38,Water,Metals,CU,,,µg/l,,0.02,0.221780833,11.08904167
100kmE42N38,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,1.80E-07,1.80E-05
100kmE42N38,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,9.73E-07,3.89E-05
100kmE42N38,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,1.22E-05,0.00244925
100kmE42N38,Water,PAHs,FLU,,,µg/l,,0.0063,4.99E-05,0.007919841
100kmE42N38,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,0.00015616,0.07808
100kmE42N38,Water,PAHs,NAP,,,µg/l,,2,0.00073475,0.000367375
100kmE42N38,Water,Metals,NI,,,µg/l,,8.6,0.293656667,0.034146124
